A,B
1,1721
1,1620
3,1543
4,2045
1,91
5,1710
2,291
3,1113
2,910
2,402
3,217
4,8
4,379
4,371
3,474
2,1131
5,613
1,591
5,219
5,1652
3,700
5,147
3,813
3,1631
5,268
1,1451
2,1666
3,508
3,16
3,1927
4,795
4,1777
3,664
1,56
4,1102
1,1251
5,926
1,134
5,64
3,1835
1,893
5,211
5,295
3,837
2,27
5,1942
4,724
5,703
4,297
5,1357
4,952
3,1105
2,302
5,1116
5,456
1,1344
1,1769
5,1570
2,1334
5,59
1,317
4,2076
2,2189
2,782
3,220
2,1068
3,1510
3,902
2,184
4,216
4,1828
2,1665
5,39
2,1560
1,460
2,9
4,796
3,408
3,567
5,470
1,1624
3,1212
3,914
4,2042
4,726
5,855
3,655
4,1853
4,647
3,715
5,173
5,836
1,1670
1,1419
2,891
5,526
5,1795
3,1883
3,1221
3,1640
1,1010
1,912
4,690
3,1407
2,451
1,1283
2,383
4,1167
2,1826
5,1568
4,848
4,598
4,775
4,1398
1,1736
5,843
5,80
3,88
2,1249
2,1138
1,934
4,1175
5,1693
1,306
5,637
3,1195
4,1927
1,1257
4,2058
5,2011
4,1099
2,18
4,1641
5,284
4,1543
1,851
4,2038
1,611
2,32
1,580
1,307
3,1550
1,242
5,144
3,851
1,2038
2,1602
2,1120
4,936
2,889
2,2184
4,1747
2,515
5,309
3,973
5,92
1,74
5,546
4,2117
2,990
4,613
2,413
1,487
2,1852
4,1164
2,932
3,952
1,433
1,1658
1,453
2,1416
5,690
3,877
4,587
5,431
5,911
4,591
1,1496
3,1204
2,1968
3,1623
1,1342
1,956
4,1424
3,1619
2,1726
2,91
2,1023
5,995
3,157
5,1883
1,162
4,1577
3,278
2,970
2,1828
1,1669
3,1675
1,1421
2,547
