A,B
6,48
4,51
5,1
1,59
3,40
9,61
6,31
8,43
10,14
8,42
8,5
5,11
2,29
10,16
4,87
1,31
7,45
6,47
7,22
2,74
6,27
8,50
6,2
3,66
2,29
3,65
4,34
1,87
7,41
10,38
5,32
8,10
6,49
2,48
10,2
2,85
9,66
1,85
8,57
5,91
9,68
1,54
1,38
4,51
4,81
8,54
9,91
1,38
4,70
9,68
8,44
3,12
6,41
4,3
9,61
8,38
1,43
10,60
7,41
7,8
5,55
10,20
2,48
7,19
3,34
9,58
3,16
5,78
9,36
7,32
3,65
7,89
2,85
9,77
5,95
10,65
10,10
3,72
10,83
10,93
3,78
2,69
9,65
3,66
2,72
4,19
5,35
6,27
8,45
2,37
1,83
4,14
1,46
4,20
5,10
7,49
5,50
7,46
6,9
6,10
