A,B
3,83
4,8
1,57
6,50
9,53
10,52
2,40
9,5
3,26
10,51
10,70
4,53
6,56
4,81
5,56
2,71
8,32
1,75
8,31
8,9
3,81
2,40
6,1
2,13
4,29
1,22
8,39
1,55
8,42
7,24
1,18
7,89
6,45
5,53
2,30
8,32
6,21
7,26
5,34
1,81
9,42
4,89
1,96
9,78
6,72
7,47
6,33
2,100
3,24
2,15
3,58
3,27
1,93
4,48
5,6
7,38
10,84
10,24
9,67
3,28
7,62
9,30
10,1
7,28
5,39
3,75
5,34
8,13
9,20
9,30
9,35
6,29
2,93
7,39
2,9
10,63
4,6
2,30
7,5
5,20
8,29
6,72
4,13
4,84
1,41
3,69
1,91
10,79
5,30
10,73
6,67
5,31
9,23
7,59
10,63
8,73
4,35
5,75
3,5
8,30
