A,B
2,539
6,440
7,46
3,342
10,572
9,246
1,318
2,115
10,290
6,398
6,141
9,312
5,4
5,78
4,377
7,64
7,216
3,242
10,51
9,218
4,90
10,101
8,502
8,168
1,353
4,130
7,11
4,15
3,395
3,377
6,482
7,246
9,179
8,185
2,156
4,180
9,139
6,544
6,75
10,47
1,514
1,58
7,48
5,252
3,38
9,24
5,7
3,179
4,236
4,31
6,66
7,316
7,336
1,358
9,321
5,378
2,381
10,243
2,151
8,362
6,534
2,478
7,161
1,445
9,192
8,161
8,252
5,239
8,140
3,106
3,345
5,309
2,140
4,266
10,546
1,109
1,113
4,102
1,174
6,131
9,160
10,45
3,403
5,276
2,498
1,65
4,211
9,291
10,288
3,198
6,130
10,446
8,51
2,231
8,192
5,431
5,175
7,326
2,294
8,178
