A,B
2,45
5,28
2,28
1,64
1,76
4,32
3,92
3,91
5,50
4,19
3,27
3,3
1,66
2,16
3,52
1,59
3,72
2,40
2,89
2,58
3,27
5,14
3,65
4,51
2,35
1,81
1,84
1,75
2,64
2,29
5,15
1,31
4,96
1,23
2,95
3,24
3,33
4,29
5,52
3,60
4,45
4,87
1,90
2,70
1,2
2,19
2,31
5,11
5,19
1,15
2,51
5,44
2,49
1,78
2,104
3,42
3,23
2,98
3,74
1,62
2,48
5,46
4,81
4,47
5,22
5,8
4,24
5,42
3,65
5,37
5,19
3,32
5,22
2,55
3,79
4,9
2,16
3,12
2,31
5,4
2,45
1,90
3,79
4,78
4,77
1,86
5,24
2,66
3,16
5,66
4,16
1,40
1,43
1,82
1,18
4,33
1,18
4,86
2,21
2,85
5,87
1,49
4,56
3,8
2,55
5,83
5,82
4,62
3,88
3,31
2,56
4,63
2,30
4,22
4,12
3,36
1,7
4,94
4,55
1,11
5,20
4,63
1,3
4,72
3,82
5,94
5,87
2,103
3,65
4,43
5,70
1,30
4,68
4,83
1,13
3,17
5,74
2,66
5,45
5,64
5,46
5,90
5,44
1,53
4,3
2,21
4,68
1,81
1,14
5,47
3,31
5,71
2,20
3,26
1,1
4,81
1,30
3,71
3,19
5,36
4,27
2,80
3,83
2,82
2,84
3,88
1,79
4,7
2,43
5,3
4,84
3,52
2,40
3,73
5,70
2,64
5,84
1,80
5,17
4,73
3,91
1,21
4,33
4,11
1,78
3,85
4,96
3,14
4,60
5,71
3,68
2,14
1,4
1,95
2,34
4,26
1,87
5,33
1,3
3,33
