A,B
5,17
4,11
3,38
4,67
3,3
5,9
1,97
5,52
2,21
3,63
4,5
1,74
4,46
3,55
5,3
5,6
4,14
1,23
2,75
1,82
1,80
3,1
4,46
3,16
1,63
2,56
4,80
2,41
1,90
5,96
4,41
2,54
1,74
1,2
3,65
3,94
2,75
2,93
2,97
3,67
5,35
3,57
1,46
4,17
1,47
1,89
2,91
5,12
3,12
2,71
1,36
2,45
3,21
1,83
1,51
4,14
1,81
3,30
3,53
4,89
1,80
2,2
3,23
4,73
1,97
3,31
5,41
3,17
4,3
4,48
1,11
5,64
1,15
3,94
3,15
2,63
4,56
1,52
1,26
5,4
3,17
5,14
4,59
5,35
1,45
2,9
2,25
2,40
2,99
5,61
4,17
2,77
5,74
5,63
4,53
5,37
5,71
1,22
4,39
3,99
5,54
3,22
4,68
4,37
2,17
4,5
3,83
4,76
2,57
5,46
3,73
3,1
5,31
5,99
2,92
3,63
5,89
4,59
1,82
5,66
2,29
5,73
1,59
3,2
2,96
4,35
2,59
1,49
4,11
5,62
4,29
3,71
4,24
2,22
4,43
3,49
5,51
4,39
1,48
5,39
5,78
3,10
2,47
1,72
2,47
5,88
4,80
3,46
5,14
4,85
4,40
5,16
2,77
4,12
4,81
1,39
2,50
4,45
2,37
3,4
1,30
1,46
5,72
3,25
4,92
3,98
2,45
2,79
5,79
2,30
5,37
1,16
1,98
1,98
1,12
1,43
3,35
5,76
3,97
4,6
5,31
2,65
5,53
4,1
3,71
4,22
5,23
1,34
3,61
2,47
3,81
5,88
1,96
2,32
2,95
2,92
1,37
2,64
3,43
2,63
