A,B
7,210
5,801
4,667
9,18
10,742
6,406
6,546
10,101
4,285
3,435
10,22
6,666
3,935
2,565
7,716
5,522
8,463
8,947
7,454
4,534
10,307
8,301
10,699
3,596
4,273
5,266
6,919
6,854
9,164
8,560
1,916
8,1205
7,238
8,1026
5,779
1,810
1,1053
7,14
1,284
2,637
2,325
7,30
9,89
8,1106
1,539
9,360
6,1081
9,566
7,295
2,331
7,877
7,979
4,472
4,668
10,910
2,195
10,731
9,625
3,835
10,833
3,802
8,1097
9,379
1,771
8,240
3,827
7,456
9,911
7,664
10,58
2,24
8,243
5,788
2,838
3,249
1,242
3,1062
4,625
5,347
3,934
2,10
4,2
1,610
10,327
2,262
8,1122
8,215
6,45
5,466
9,384
1,175
6,543
2,910
4,161
2,345
3,754
2,294
10,510
7,822
5,920
8,900
1,706
2,951
5,808
8,378
10,237
6,870
8,676
6,341
9,302
9,600
1,612
9,502
6,812
6,701
8,754
7,94
3,1109
7,475
9,18
5,874
3,814
9,127
4,77
7,419
1,333
3,623
1,116
2,52
5,142
1,861
1,605
9,677
4,341
1,814
5,245
4,892
6,895
5,232
4,555
6,397
9,637
1,179
6,642
4,400
8,358
8,1117
5,21
3,1055
7,783
6,826
1,549
3,690
3,1006
10,286
3,301
3,905
4,659
10,48
4,524
3,8
8,969
7,66
3,546
4,8
7,530
2,555
10,89
6,61
5,745
2,755
5,672
10,501
9,724
7,333
6,997
9,788
9,792
5,786
8,613
6,257
5,732
2,218
10,613
10,204
4,169
10,465
2,814
4,418
2,199
2,571
10,8
5,911
1,94
4,247
5,784
7,179
9,115
6,404
1,1036
