A,B
5,524
6,477
5,13
9,294
8,338
1,436
4,701
4,87
5,116
5,30
3,398
6,232
2,82
4,467
7,315
1,116
8,392
8,490
8,254
8,87
7,310
7,151
5,437
8,336
2,348
10,267
9,657
10,193
9,511
3,527
1,389
4,381
9,12
9,197
6,280
1,426
1,405
2,401
1,189
5,47
4,714
1,149
7,303
10,99
6,138
6,255
3,51
7,15
4,288
3,39
2,168
8,219
4,482
3,265
5,366
6,306
4,142
4,640
10,246
9,50
7,92
3,69
3,401
3,207
5,128
2,16
8,385
10,38
6,16
8,14
2,205
10,316
5,206
10,215
2,202
8,326
7,163
9,421
10,178
9,293
7,304
9,607
6,58
10,292
2,491
6,113
2,77
4,272
3,166
9,245
1,275
2,129
10,129
1,96
3,481
7,205
5,440
6,214
1,239
7,96
