A,B
5,1510
3,62
4,1025
1,1862
1,514
1,1349
3,1049
1,1672
3,1831
4,96
1,1104
1,477
5,80
1,1424
5,1137
3,1850
2,989
5,1022
4,717
4,1536
5,1103
3,924
5,1143
1,672
1,818
2,246
3,1139
2,835
4,244
1,1883
2,394
1,1856
5,1929
1,918
2,17
5,1265
3,256
1,360
2,859
1,1193
4,1469
3,289
2,728
4,1973
4,305
2,430
5,13
1,444
5,512
4,73
1,1654
4,1653
3,738
1,280
1,1690
5,912
1,304
3,349
3,1601
5,1828
5,1848
1,1656
4,1101
3,35
2,408
3,1867
2,1483
4,761
2,1347
2,1739
2,1868
5,1032
2,2076
4,1016
1,672
5,1871
2,1979
5,1075
3,239
1,488
5,1472
3,1740
2,684
3,736
4,1778
4,492
1,897
3,914
5,905
4,390
3,1590
3,1254
2,1626
2,1718
5,856
5,1830
5,1222
5,1097
4,1026
2,928
1,1847
3,73
3,1063
4,1312
5,612
5,706
3,232
4,90
5,1214
5,736
1,131
1,938
2,256
1,355
3,1484
5,1299
1,663
3,1414
4,967
3,1583
5,903
2,829
4,1551
5,538
1,1459
4,361
1,1522
4,1926
4,1609
2,1518
3,720
1,113
1,1712
5,982
2,2175
2,684
3,1389
2,1033
5,1126
2,1315
2,890
1,1651
5,2140
4,1942
5,577
2,670
2,52
2,1093
4,1529
4,992
1,258
5,902
1,1283
5,1273
1,664
2,1677
4,388
4,1587
3,813
3,333
4,1664
4,1780
5,950
3,1691
4,1521
4,445
2,1501
2,755
5,1447
1,1708
2,516
3,1459
4,1229
2,1068
1,1158
2,381
1,640
4,889
3,909
4,1187
3,389
3,1329
3,1951
5,320
2,1403
1,1068
4,1627
4,1698
3,343
3,46
5,992
4,1373
3,1084
2,1682
3,890
2,1097
3,1815
4,1439
2,1974
5,825
