A,B
5,529
8,72
4,137
9,904
2,505
3,686
6,155
6,461
5,269
10,131
1,399
6,153
10,830
7,829
10,267
5,279
8,812
6,440
10,693
8,833
9,886
7,915
6,11
2,107
4,783
8,930
2,267
9,538
10,349
7,90
10,407
3,14
3,425
7,721
4,723
1,244
3,607
6,42
8,563
8,160
3,674
4,454
9,626
6,590
1,425
7,745
10,682
6,333
6,478
2,270
3,76
5,559
3,725
3,108
4,1072
6,129
4,1075
5,5
10,642
8,556
7,145
8,719
2,259
7,123
2,481
8,384
9,468
6,337
10,14
4,739
1,88
5,353
1,182
10,275
7,676
2,192
9,870
9,553
6,445
5,627
3,226
5,131
9,495
1,464
4,283
3,705
7,600
8,603
7,514
5,340
1,248
8,191
5,433
2,657
8,200
2,200
8,830
1,762
4,31
8,910
2,272
1,101
4,821
9,979
3,97
5,356
8,72
2,282
8,113
2,656
9,358
7,1058
2,152
1,292
10,327
2,490
5,758
5,371
9,518
6,613
10,671
9,301
4,279
10,171
9,999
10,208
3,343
1,630
5,697
8,480
2,83
7,257
5,838
9,562
5,859
7,752
4,131
6,505
1,358
4,788
8,736
3,205
4,1096
4,857
9,864
4,825
9,654
7,481
7,943
1,92
4,458
3,515
3,830
7,822
2,699
1,62
3,506
10,498
9,331
10,481
2,195
7,408
1,447
9,286
10,757
5,505
3,841
6,743
7,819
9,199
4,510
2,11
6,93
5,617
1,588
3,500
6,293
2,705
8,630
4,634
9,328
1,642
1,430
1,802
5,744
2,283
3,201
3,516
6,696
10,593
6,160
10,574
8,795
10,219
7,302
7,49
6,439
4,784
1,189
5,810
