A,B
3,963
5,630
4,852
4,996
4,41
3,953
1,558
4,369
3,724
2,825
5,816
5,472
5,24
1,56
2,442
3,73
2,46
1,644
4,124
3,340
5,234
2,14
4,442
1,383
5,358
4,77
5,389
3,36
4,291
1,441
2,283
5,17
2,485
4,48
5,421
4,735
2,755
2,256
2,308
1,381
4,834
2,482
1,110
3,69
4,309
4,668
3,503
1,260
2,80
2,174
1,404
3,1029
1,350
5,264
3,687
2,593
3,100
2,705
1,528
5,139
3,19
4,765
1,16
1,217
4,971
1,374
2,873
3,989
4,340
2,963
5,212
1,514
5,555
3,828
5,196
3,191
3,326
1,760
4,849
2,209
1,450
4,850
3,653
1,351
3,965
5,116
5,719
1,243
3,471
5,177
5,417
2,922
1,598
4,1035
5,362
5,599
2,217
3,798
4,1168
2,557
