A,B
1,40
2,31
5,2
4,3
1,57
2,88
1,57
1,7
1,80
4,33
1,32
5,36
2,9
2,38
3,74
1,29
2,26
3,12
5,39
3,32
2,42
4,21
2,60
3,79
2,12
3,84
1,29
3,94
5,4
3,28
5,1
3,3
2,7
2,69
5,25
4,9
2,37
4,57
1,79
4,98
2,41
3,28
2,70
2,61
1,61
5,16
3,5
2,12
1,92
1,45
3,35
4,29
3,74
4,55
4,80
2,54
5,97
2,86
4,43
1,80
2,20
4,73
1,30
3,46
5,45
5,8
4,91
5,29
5,98
3,35
4,52
5,42
2,32
3,93
1,53
5,26
3,81
2,41
1,20
1,7
1,43
5,50
5,43
3,56
3,5
3,56
1,2
3,13
5,49
4,74
4,37
3,25
4,62
4,51
1,71
1,80
2,80
1,92
4,102
1,49
2,34
4,65
3,42
5,45
5,25
4,61
2,83
1,97
3,53
5,4
3,37
2,71
1,4
4,4
5,47
4,73
2,62
3,84
4,5
5,61
4,63
5,26
2,48
2,22
3,56
5,96
2,41
4,82
3,64
2,14
3,25
1,54
5,29
4,37
4,64
5,95
5,78
5,72
3,26
1,11
2,92
2,91
1,81
1,36
4,40
4,53
4,39
1,23
3,6
5,24
2,37
4,85
1,45
4,34
3,5
1,9
4,90
5,30
3,35
5,28
5,37
4,64
2,83
3,24
5,26
5,38
5,82
2,73
2,83
1,28
4,14
3,25
2,35
4,6
1,38
3,93
3,75
1,85
5,58
2,41
2,59
1,40
5,28
2,47
3,5
4,95
3,97
1,75
5,92
3,28
5,50
2,52
5,5
5,4
4,33
5,83
4,17
3,96
2,92
5,47
4,96
4,42
1,99
1,89
2,62
4,76
5,10
4,37
4,38
1,2
3,88
2,47
3,75
1,51
2,33
4,94
4,30
5,33
1,74
3,45
2,19
5,2
1,7
4,48
3,63
3,32
4,89
1,84
2,17
4,76
5,4
3,26
1,60
2,82
2,65
1,1
4,58
2,69
2,44
5,55
3,49
5,98
1,18
4,39
2,84
3,15
5,33
3,60
1,80
3,53
4,79
2,77
5,70
1,27
3,9
3,46
3,94
1,67
1,72
3,15
2,45
4,55
2,74
3,31
2,40
5,6
3,50
3,78
2,89
4,18
4,24
2,31
5,8
3,93
5,55
4,11
2,25
3,87
1,26
3,55
2,78
4,100
1,69
5,67
4,76
3,15
3,61
4,4
3,86
1,49
3,3
4,31
5,62
1,67
4,25
1,5
4,76
3,84
2,42
2,11
5,59
2,86
3,76
1,31
4,64
4,61
1,47
5,92
5,46
4,50
5,47
2,8
2,49
1,28
5,95
1,56
2,23
2,13
5,16
5,94
4,35
3,34
4,58
1,29
2,50
2,17
1,1
1,91
3,8
2,64
5,49
5,92
2,2
3,50
5,28
1,54
4,23
4,81
1,76
5,22
1,76
4,44
1,18
4,53
3,24
5,69
4,38
2,48
4,31
5,43
4,77
2,70
4,8
1,76
4,82
1,74
1,20
5,93
2,37
4,88
4,33
1,51
4,39
2,95
5,86
3,18
5,26
2,68
2,63
5,60
1,6
2,89
5,78
4,16
4,38
5,65
5,15
5,33
4,30
3,60
1,52
1,48
5,72
2,64
1,66
2,79
2,10
5,81
5,57
3,80
1,75
3,14
2,16
4,38
3,88
3,37
2,79
5,17
2,2
5,34
4,29
2,69
1,61
2,59
1,95
5,87
4,34
1,88
4,87
2,11
4,3
1,46
1,30
5,58
1,6
3,37
2,45
4,48
1,52
3,95
1,85
2,13
1,3
1,26
1,32
4,76
4,75
1,38
2,69
3,49
4,30
3,43
5,92
3,10
5,89
3,81
2,84
3,98
3,64
2,21
4,85
3,30
4,52
3,75
2,87
3,86
3,39
5,30
3,34
3,32
3,30
4,11
4,70
5,68
2,98
5,55
1,29
2,39
2,73
1,48
1,36
4,82
5,14
2,20
1,51
1,26
5,35
3,44
1,53
5,35
4,67
4,52
5,84
3,52
1,19
4,89
5,46
3,99
2,35
5,1
5,62
3,32
2,15
5,27
5,96
5,63
1,100
1,17
1,61
3,66
2,70
3,9
1,49
4,63
3,40
3,40
1,83
2,72
3,63
5,43
