A,B
9,75
8,26
8,84
10,47
8,18
10,72
4,49
8,23
9,33
9,25
8,34
10,64
2,29
6,63
4,66
10,9
10,4
4,85
7,32
10,84
10,90
6,89
6,31
10,12
3,67
5,86
2,34
6,14
4,2
2,8
1,14
10,57
5,63
9,86
3,93
9,73
3,71
3,20
10,54
10,28
7,69
3,50
9,55
8,14
2,36
2,91
3,26
1,39
5,72
7,64
8,19
8,92
6,23
4,26
9,86
9,63
5,51
5,17
6,22
8,63
7,45
6,58
1,94
7,80
3,4
8,23
5,43
4,4
10,55
9,90
3,18
8,44
1,83
10,47
6,71
7,86
8,74
7,75
10,58
2,81
3,25
9,21
10,16
4,27
2,88
3,85
3,80
9,1
9,1
5,46
4,35
2,94
10,61
1,95
7,58
7,19
6,31
4,47
1,21
2,99
10,20
3,68
3,35
9,5
2,55
2,29
1,52
6,63
1,54
7,6
3,22
9,72
9,55
4,16
1,34
1,9
7,87
2,15
2,33
9,79
8,76
7,32
2,42
5,40
5,90
6,74
1,53
7,44
7,61
1,15
5,21
6,70
1,84
8,86
4,51
6,81
2,90
4,33
8,76
3,99
4,12
6,80
4,39
10,55
10,20
7,84
10,5
2,24
10,82
3,69
5,93
3,19
4,17
2,6
2,56
4,79
9,51
6,80
6,2
7,55
6,76
2,56
6,74
1,1
5,98
5,33
10,10
5,24
8,44
9,59
1,45
8,23
8,72
1,7
2,25
3,76
6,42
10,83
7,60
1,4
1,42
9,74
9,2
9,33
8,62
3,3
2,90
5,26
9,13
4,70
7,51
9,58
7,95
4,28
10,2
1,18
7,33
6,55
2,70
7,41
5,66
7,99
2,56
7,58
2,42
6,55
8,5
8,59
9,75
10,8
5,12
10,13
10,23
6,38
5,93
8,79
2,15
2,89
2,29
1,53
4,9
9,60
6,30
4,43
6,24
3,33
1,53
6,23
5,15
6,9
4,52
3,79
4,9
2,17
7,5
8,67
6,45
6,33
9,49
8,59
4,94
3,54
10,28
3,50
1,62
4,7
5,32
8,90
5,40
4,55
1,84
8,7
7,3
1,78
2,61
8,92
3,68
6,42
9,92
1,12
3,39
8,60
3,44
7,8
1,60
10,69
9,80
3,27
7,23
3,13
7,20
1,64
7,17
8,45
7,47
1,11
6,37
1,44
6,39
2,78
3,21
4,48
9,82
7,43
9,10
5,77
10,61
9,56
5,13
6,88
1,84
10,57
7,58
8,63
3,53
10,9
4,49
1,64
4,69
7,75
5,82
8,6
9,50
8,37
5,42
5,46
9,85
2,22
8,73
3,59
3,30
2,44
10,16
1,24
2,2
10,55
5,3
10,45
8,39
6,26
7,74
5,9
5,64
2,25
7,45
1,66
3,90
5,67
4,1
5,51
5,60
10,46
1,85
10,67
4,40
7,94
5,33
8,17
7,26
6,82
9,33
2,49
6,29
3,63
7,53
8,25
7,32
1,21
4,22
4,51
3,9
5,9
6,55
2,95
3,63
2,76
10,20
6,83
8,1
2,19
6,88
1,71
9,87
4,89
5,96
2,1
9,90
8,46
2,80
6,59
10,56
8,37
5,71
8,53
9,16
1,63
8,65
4,15
8,10
3,56
4,15
4,66
7,97
10,75
8,67
3,3
5,90
3,52
4,34
4,95
4,71
1,98
3,82
9,31
2,76
7,104
3,82
9,68
1,86
7,23
1,45
7,12
1,90
7,67
6,4
10,70
4,91
6,94
6,51
4,89
1,7
8,21
4,32
4,24
10,74
3,50
2,60
4,61
9,90
8,89
6,25
3,54
1,30
3,9
2,89
8,5
5,45
3,44
9,75
7,57
5,12
9,82
10,36
4,45
1,48
2,64
2,59
9,21
2,79
10,95
10,47
3,65
5,89
10,100
7,103
5,25
4,2
7,91
5,21
1,27
9,90
4,25
1,17
8,42
4,19
8,56
4,92
3,66
2,89
9,1
10,82
1,57
9,25
2,53
9,72
5,1
1,53
6,27
2,11
9,9
4,31
1,54
5,18
8,29
9,64
5,62
6,36
3,5
5,40
5,1
5,64
6,39
8,15
9,12
5,78
10,43
5,86
6,37
1,80
7,17
7,5
3,56
2,52
6,58
10,62
3,48
6,84
7,92
6,79
10,34
