A,B
4,10
1,95
7,5
5,77
9,43
3,94
4,66
1,12
2,37
8,18
9,22
5,19
6,89
9,87
1,14
1,39
3,11
2,27
4,85
2,78
5,31
6,98
3,86
5,97
5,86
8,71
8,51
5,20
5,11
3,77
3,92
1,75
3,71
4,56
9,42
7,62
2,38
1,96
9,18
3,99
8,81
6,17
4,23
7,24
5,8
6,79
6,84
4,46
8,92
1,77
7,63
8,59
3,90
7,57
3,87
7,91
9,1
1,11
4,37
2,63
4,48
3,32
4,17
9,10
10,56
5,58
1,52
6,73
7,26
2,78
5,74
7,78
3,68
6,39
1,94
3,23
10,20
6,67
6,35
10,40
9,75
2,53
5,10
2,77
4,42
1,46
8,5
1,21
9,21
4,51
1,72
7,18
7,11
8,42
10,13
9,77
1,47
10,65
2,76
10,34
7,23
5,83
6,26
3,3
4,82
4,83
3,17
1,30
9,22
4,95
9,73
10,54
10,34
6,27
1,64
8,49
5,56
1,86
8,42
10,58
2,80
2,59
5,25
6,60
7,64
8,98
3,3
10,69
2,42
9,40
10,95
1,21
5,26
7,22
4,86
2,96
7,30
3,32
4,95
1,30
10,76
9,8
5,39
4,80
6,93
10,75
3,15
7,34
8,93
4,91
10,38
10,74
5,16
4,70
6,50
9,50
6,52
3,4
6,36
7,7
8,73
6,40
10,51
5,76
3,81
2,8
10,80
1,46
4,43
1,79
5,25
9,86
4,33
9,71
2,34
2,51
7,82
6,2
2,77
4,6
6,28
2,4
10,15
3,38
10,30
7,27
5,83
3,95
4,7
10,92
8,48
9,82
5,47
1,77
7,31
7,17
3,30
10,93
4,44
6,32
8,8
4,20
3,63
9,16
3,85
3,55
6,74
8,56
6,90
1,60
6,18
8,67
5,62
5,85
8,61
4,29
4,97
1,26
9,5
5,91
10,1
3,7
9,26
2,16
9,95
2,17
3,30
10,84
6,47
6,57
3,65
4,78
2,87
1,73
7,15
8,55
5,39
1,90
3,1
2,31
6,33
5,18
2,9
9,1
10,96
10,4
8,45
6,46
5,66
2,69
3,71
9,50
2,54
3,5
2,96
6,31
6,74
4,46
6,90
4,94
8,30
9,78
7,25
10,30
8,8
6,47
3,47
7,35
1,60
5,68
9,32
10,81
9,5
7,33
6,59
8,30
8,30
7,52
10,51
5,12
5,73
1,46
9,58
7,9
8,47
6,24
10,29
6,83
4,23
10,69
9,33
1,62
3,52
8,50
8,69
10,1
8,89
6,61
6,97
1,56
7,57
7,38
7,93
4,83
2,51
8,95
2,69
9,81
7,7
8,84
1,28
3,37
1,36
1,96
3,42
8,24
7,17
1,65
2,3
5,41
2,96
7,57
8,15
10,94
4,82
7,45
8,34
10,72
2,13
10,39
7,7
5,56
6,22
7,17
10,75
2,97
1,20
3,16
2,49
10,16
2,38
2,60
2,25
1,66
2,66
4,76
9,50
9,7
7,36
8,73
1,34
8,28
10,63
9,7
3,4
8,56
10,15
5,60
8,31
8,80
7,24
5,73
3,56
1,8
9,21
5,38
3,18
4,9
10,39
7,67
5,6
9,18
4,65
5,52
2,56
9,70
9,75
7,36
3,6
10,66
10,73
4,28
5,26
9,10
10,79
3,86
8,96
1,1
10,7
4,41
2,91
5,24
5,62
9,69
4,83
5,39
10,90
9,16
3,96
2,41
9,84
8,21
8,17
3,39
9,4
10,51
1,23
6,85
9,36
4,60
4,63
7,18
5,52
3,2
8,53
5,78
6,40
6,58
1,72
8,49
2,93
5,7
6,77
2,42
4,10
8,87
6,95
4,24
9,44
6,47
9,91
1,36
4,42
4,21
2,44
5,38
8,41
2,19
7,93
6,93
9,9
2,3
8,92
5,6
6,60
7,13
3,96
10,95
1,45
2,74
8,43
2,23
2,69
7,58
7,9
7,18
7,7
6,55
3,19
4,12
10,73
3,49
10,3
5,5
8,34
7,58
3,12
1,93
1,96
4,50
9,81
1,81
2,99
8,76
6,99
4,90
6,77
1,8
9,17
10,25
8,96
5,64
4,49
10,23
1,3
3,32
4,25
2,81
5,10
1,73
9,69
7,39
1,82
9,44
3,39
5,62
6,55
6,77
7,52
7,9
