A,B
8,2408
9,1825
9,1882
1,2145
2,536
6,2220
10,419
7,1552
4,421
9,36
9,1149
1,154
8,635
6,1611
8,1089
6,586
6,2081
10,857
6,2177
5,1308
5,1184
7,228
6,248
8,378
6,1976
7,326
8,1015
2,1934
9,283
10,1660
1,1105
10,2004
7,844
10,1048
1,2183
3,1477
1,1025
1,1359
6,986
9,2358
8,2137
5,139
3,2310
3,484
7,1798
4,1378
9,1409
3,84
6,1773
10,253
8,797
4,959
2,2269
5,1021
7,1129
6,1751
1,1211
7,869
4,437
6,491
10,1661
3,2159
4,1534
4,203
4,54
1,724
4,947
10,362
4,1967
1,2029
9,333
4,1967
8,1928
7,2076
7,945
1,2061
5,451
5,1540
7,317
9,2563
5,2059
7,531
3,1035
9,639
3,1789
10,881
4,1453
2,232
7,1092
7,524
9,1873
6,1057
4,898
1,948
10,144
5,327
2,1658
1,611
6,1452
6,481
9,372
3,491
9,1770
3,628
2,1664
2,815
3,2440
6,1271
8,563
8,1361
4,1509
9,2469
2,1764
10,331
9,2448
4,903
4,1327
3,1734
8,2120
1,1600
4,1147
3,783
8,1743
3,392
5,1734
9,960
10,1334
7,1068
6,1143
2,2438
6,1273
4,257
4,1334
4,877
7,1714
5,824
7,1301
5,1742
9,551
6,1449
7,2292
6,13
4,947
3,1966
10,1372
7,42
1,128
6,1047
5,675
10,2076
3,1572
2,1941
1,136
3,1065
6,1521
3,1674
5,1253
9,2611
1,1887
10,1914
8,625
1,1557
9,2498
5,234
1,1195
7,1726
5,289
4,1430
1,1574
5,669
5,2051
5,494
3,1210
3,1426
8,814
2,1736
9,2009
2,542
4,94
3,2092
3,1699
5,44
9,2442
4,2122
9,1948
10,851
1,860
5,2215
3,847
5,1899
2,1817
8,1243
7,2320
9,2599
7,130
10,1152
2,593
2,2508
7,866
7,2121
7,2237
3,645
10,1323
9,366
6,60
10,472
5,1512
4,1984
10,1158
6,725
7,1728
1,1864
10,141
1,1312
10,931
3,1766
8,520
9,104
6,1467
10,781
6,1775
4,808
5,2300
6,2150
4,852
3,2254
1,258
2,1829
8,741
3,1976
4,259
1,859
9,1502
8,848
5,1554
8,1455
10,300
5,2079
6,336
3,1234
10,492
8,295
10,2440
2,418
8,2230
2,2265
5,121
10,2384
6,49
9,1411
6,1358
9,404
2,1251
6,2476
4,2080
5,279
2,1851
5,854
10,1172
10,1562
8,22
4,1009
4,264
10,517
7,2312
1,2079
6,598
3,595
2,78
4,152
6,1880
1,2252
8,2086
9,142
1,1578
10,1139
6,420
2,622
1,166
9,295
2,331
3,2322
5,1014
8,458
8,2087
7,947
8,228
2,1762
3,1265
4,391
1,2072
3,738
3,1806
4,117
8,1735
3,761
4,1728
10,1611
2,1279
9,263
9,1418
3,1858
2,487
2,1260
5,2448
1,97
4,612
4,287
8,200
5,20
10,1938
1,1457
6,780
4,1076
3,1293
6,25
1,185
1,792
3,2047
2,1366
7,2343
7,1762
6,1300
2,1854
9,1568
6,235
5,1007
6,1370
8,1724
3,1835
5,2160
8,1451
8,981
5,2172
3,1151
7,1948
2,1353
10,2178
7,2194
6,103
1,1636
7,1221
1,1845
1,2015
7,1713
8,2232
8,1101
3,1243
9,2507
10,2197
7,1750
8,2516
5,1941
3,660
1,1021
8,2143
10,204
10,1308
10,981
8,451
9,2113
10,2161
2,71
2,814
9,696
9,1156
8,1736
1,731
2,90
4,704
5,2308
10,1942
6,1370
7,91
8,908
5,1882
9,1798
8,868
4,1897
2,1428
7,1638
5,1287
10,1566
1,1684
10,1978
7,2343
9,1150
7,1007
5,2454
5,1030
8,2093
10,761
8,1134
4,1996
10,1806
6,2014
8,1774
3,963
4,1578
3,963
9,2119
3,1428
2,2426
10,1871
3,24
10,2505
6,1685
4,1990
6,1393
1,1732
4,1314
6,2593
1,91
2,2040
9,2341
9,235
4,1910
3,31
5,273
7,2113
9,2539
5,871
1,851
2,1265
2,529
1,1735
4,1205
7,1716
4,917
10,86
2,1075
1,273
7,1255
8,575
8,833
8,218
2,125
4,14
9,908
10,2512
8,1163
10,590
9,657
9,734
3,1225
6,884
1,1402
6,1487
7,534
6,653
2,1708
9,1924
9,792
3,1315
1,1150
1,1449
4,1902
6,1544
3,209
7,1736
2,814
4,1711
5,742
5,1246
8,626
1,593
5,2122
10,44
2,1603
4,2101
7,445
3,904
5,524
2,1651
7,1729
8,1808
1,1069
5,2114
6,1687
6,1184
7,1610
2,1295
9,1754
7,1633
3,277
9,2222
7,35
7,1869
2,2382
2,1959
1,1871
2,159
2,790
8,2540
5,1815
8,1944
5,2407
2,1103
7,1197
5,1530
