A,B
5,1073
5,919
4,1328
5,1760
3,2101
7,1537
10,153
3,128
4,558
8,1654
4,32
3,1339
7,2678
4,1705
2,658
5,951
2,884
2,1098
6,353
9,415
2,1426
8,1461
2,1614
1,582
6,135
1,79
6,2044
7,1625
7,2572
5,2494
1,897
9,2426
4,756
3,807
3,1356
9,1649
9,951
4,998
5,2279
4,731
2,202
10,152
3,825
6,1764
2,221
5,1750
6,1668
4,2149
6,73
8,875
4,1938
5,1894
5,1656
3,465
8,1011
4,1872
7,2828
8,1300
5,1962
10,1601
6,2012
9,918
7,1021
3,941
2,830
10,2233
6,1987
9,1542
9,620
5,2248
5,1027
10,1881
2,1794
8,2465
3,80
1,587
6,2065
3,216
9,2096
1,2723
9,1591
7,247
1,1618
5,2072
7,2118
4,214
1,1737
3,1295
2,1482
9,387
1,2184
9,2487
8,1424
7,1088
4,2039
7,1770
8,2480
5,1779
4,2111
9,495
6,20
2,472
2,1156
1,1576
7,2291
10,1889
6,880
1,2350
5,2159
9,2437
6,1428
10,1433
4,1211
5,2180
10,880
6,1384
2,114
4,894
7,1930
10,1062
1,2297
4,1672
5,1360
8,403
1,1540
8,1901
10,835
6,1807
10,2204
10,577
1,1368
2,2332
10,1659
5,1788
8,612
10,387
7,1735
1,1591
4,1082
10,2212
3,1353
4,161
3,694
7,2458
5,410
7,658
10,35
3,1662
2,1824
6,1154
5,1059
2,800
3,1144
7,571
3,44
6,2102
4,2157
10,931
10,121
7,940
10,1981
4,670
10,1939
4,1170
5,1196
8,2331
7,2679
2,2640
6,1424
7,2132
1,2688
9,1680
4,1982
9,1500
2,999
8,1890
9,1525
2,548
9,68
7,1232
4,1093
1,2565
8,523
8,2134
3,1963
4,1571
5,1480
9,225
2,954
9,164
4,250
7,1413
6,385
9,2706
8,58
9,872
4,1276
1,664
8,246
10,1816
9,882
9,45
10,509
10,1676
4,1724
7,75
4,895
6,1441
1,303
3,901
8,170
3,349
2,2029
6,2064
9,163
9,745
8,2412
2,1972
4,725
8,1311
3,808
8,1296
10,298
1,257
3,1899
6,1799
2,1700
4,122
9,1650
9,805
6,1012
1,491
8,1064
9,1697
1,2343
7,565
8,1605
8,112
3,1448
3,1585
8,1571
2,2222
6,1913
1,1003
8,494
10,275
6,622
2,634
7,2110
7,2581
1,1460
8,2463
7,668
9,690
3,41
8,871
6,511
6,788
6,441
6,279
7,2713
5,2401
10,2209
10,1565
5,1207
1,1997
8,103
8,707
7,925
7,1426
4,716
2,561
3,964
4,1024
9,2308
8,1222
6,1921
5,1128
10,1691
1,880
3,1588
2,2022
6,1477
6,125
2,1415
4,1622
10,1222
3,1658
5,1440
10,1228
5,2337
2,1997
3,1110
8,1848
9,990
1,435
9,439
10,174
3,1256
7,2874
6,2080
5,2358
5,2266
7,736
3,954
5,612
3,23
10,1651
6,489
7,502
1,132
9,577
3,726
6,185
10,1337
3,942
7,2629
7,558
2,974
3,1052
2,937
4,917
2,1620
9,540
10,2060
9,2431
2,2549
6,1932
10,1691
9,2761
10,1324
10,75
1,861
8,293
10,1552
3,1038
6,306
7,1431
3,2104
2,2613
6,408
2,1110
8,1720
9,2563
8,1436
5,1524
2,2631
7,2100
2,2356
7,743
6,1436
2,1746
1,667
8,1044
10,1095
3,1697
5,1637
5,783
1,2530
5,336
1,43
6,608
9,680
5,423
5,1504
3,1106
8,2179
6,1639
2,1791
4,1218
8,2287
1,2679
2,819
9,946
4,569
1,188
4,1670
1,1593
4,1147
4,179
1,506
7,1233
7,2288
10,648
5,2172
9,1884
4,1315
6,53
9,616
5,358
10,1701
6,1721
3,1653
8,349
3,1900
4,550
9,1957
9,1466
5,243
1,2488
7,343
2,353
7,892
8,63
8,842
10,966
1,1507
6,1304
10,2069
1,2021
1,2353
3,1755
5,2057
4,2075
5,41
5,1387
4,573
6,842
5,1491
7,2731
6,944
8,2322
6,1520
3,904
7,213
8,781
7,2405
4,947
10,1923
5,1021
6,1829
9,2488
3,1228
1,798
3,1418
10,70
4,127
7,927
4,655
10,1863
9,974
1,202
2,839
1,2512
3,1867
5,865
8,806
4,589
1,1888
10,976
7,1122
2,31
3,1371
7,691
9,411
2,1048
1,1202
6,312
5,452
9,232
1,663
10,1177
3,1362
1,840
2,1973
7,1427
6,1941
8,2572
9,888
4,627
5,1636
4,315
7,1766
5,1483
5,1483
3,1659
2,2200
2,2066
2,953
7,1692
8,2581
8,1800
10,1343
3,1122
1,235
5,2350
8,392
6,1773
3,1604
2,285
8,422
1,1507
2,306
1,1904
4,1067
8,2553
9,1102
10,241
9,1012
1,1763
