A,B
2,4973
4,4136
2,513
3,113
3,1282
3,4094
3,4742
2,7
5,3953
2,2098
4,807
3,2765
4,2214
4,3361
4,2403
3,1612
3,1082
4,4462
2,807
5,2903
4,2762
2,4783
1,3693
2,4436
1,2313
1,3341
5,4152
4,3139
1,2242
5,1882
2,2281
3,3561
4,3557
3,1596
3,1456
5,4771
3,4920
1,2186
5,4504
1,2015
4,5577
4,2695
4,3932
2,2625
5,1692
2,1975
2,2694
3,2790
5,2055
3,1204
3,3341
4,2788
3,861
4,4512
2,4960
2,2046
4,5294
1,426
1,4471
5,2455
4,3379
5,383
3,654
1,2227
5,1262
5,648
1,3702
5,3516
3,4585
2,3003
5,1475
5,942
4,1064
3,4782
3,3152
1,343
2,3736
1,512
5,1305
4,2357
3,3180
5,153
5,3599
2,4764
3,419
1,527
2,3485
1,2492
4,5352
2,4313
1,3124
5,2134
4,2994
2,3278
3,1137
4,5081
4,1591
4,4411
4,4971
1,4077
4,1162
3,3882
2,1927
2,1265
3,2302
3,3407
4,1179
1,1152
5,76
4,2723
5,4106
1,2290
4,3948
4,469
1,4394
2,554
3,1927
3,250
5,2513
3,2151
2,2851
4,2427
3,2822
3,2650
4,3247
3,5
3,1850
2,3459
1,632
4,805
5,853
1,3901
3,1931
1,2202
4,1453
5,507
5,4154
2,4557
2,3098
1,648
1,3481
4,4689
4,1872
5,2530
3,3720
4,5101
1,4172
2,5205
4,2641
2,3243
2,2130
3,902
4,1208
2,4342
1,1892
4,261
2,140
1,1999
2,132
5,2892
2,1961
5,2344
5,2102
4,3259
3,1067
4,1170
5,3902
1,2807
3,2634
4,2400
5,3321
2,4707
5,3128
1,3626
3,9
2,4066
1,1694
4,992
1,1850
4,3399
3,4041
5,334
5,3616
4,2222
1,2384
3,3346
1,1320
3,2791
3,3142
1,1683
5,4536
5,4310
1,2345
4,367
5,3251
3,4678
5,831
1,1724
2,468
5,2143
1,677
3,2508
2,3908
1,4430
1,4321
1,3095
5,1027
2,240
4,2801
4,5458
1,717
1,1790
2,2566
5,3555
3,2393
5,4186
5,4485
2,4557
3,679
2,1222
4,1646
1,4256
4,5263
5,4461
2,242
2,3329
4,888
4,5502
5,1638
2,4116
2,3591
1,2821
3,1252
2,2185
1,2192
5,4862
2,2937
1,2647
2,1228
2,2986
1,4500
1,4082
1,4397
5,3788
4,4857
4,5155
3,1739
3,3733
2,1486
5,1686
2,1870
4,4200
5,4639
5,562
5,4240
1,1921
3,3307
4,5415
5,4161
4,2754
3,1119
4,4645
2,3824
4,164
2,3161
2,21
5,4374
5,3377
3,1952
2,586
5,1119
5,2917
3,2124
2,1691
2,4293
2,1434
1,3204
2,249
1,850
4,574
3,4792
5,3199
5,1730
4,5423
2,3083
3,4188
1,3071
4,1669
5,3043
5,1506
5,1311
5,2056
2,919
4,3346
2,3847
4,2496
3,3388
1,2058
2,4516
4,3365
1,1662
2,2329
5,1075
4,1337
2,2760
5,3918
2,2570
1,3423
2,4300
5,4212
1,3037
5,3269
3,820
2,4946
3,1141
1,3459
5,3331
4,4903
2,1390
5,3424
4,1855
3,839
4,4807
2,4838
1,3417
2,4267
4,2828
1,35
3,1375
3,4916
1,494
4,2544
1,4083
3,1604
3,4784
1,171
1,3160
3,663
2,4386
3,2125
2,3869
3,4490
4,1031
2,3927
4,4133
2,2991
5,2253
5,1376
4,2614
2,3046
2,2595
2,5178
5,2587
2,781
3,298
1,4662
3,2068
1,3229
4,927
1,365
3,2072
5,1174
2,3292
4,3801
4,3485
1,1655
5,2246
1,1919
2,288
1,1670
5,237
5,2074
5,1484
1,4445
1,4471
5,264
4,5213
5,1101
5,3184
3,2185
1,1824
5,975
2,2066
2,2716
1,3781
4,2369
2,85
3,295
4,4773
5,2900
1,2487
2,1690
4,5290
3,3366
3,1505
3,1788
1,3052
5,4518
3,636
3,983
5,1433
1,11
1,2976
5,2603
4,562
4,2869
3,1530
3,545
4,3352
1,4371
3,2509
2,1185
1,721
3,2752
3,2892
4,3624
3,3335
1,1827
1,3018
2,3733
4,5521
3,3744
4,311
2,3877
3,15
3,2362
2,64
1,4119
2,1252
1,3355
4,4845
4,2158
1,660
4,4249
3,1142
5,3401
5,2063
1,2227
5,4347
5,1069
4,4717
1,2025
2,4754
3,3884
4,5183
2,1448
3,1291
1,1573
4,2895
1,1405
4,4896
1,1282
5,484
1,1418
3,4818
3,154
1,2279
5,3192
3,4661
3,4942
4,4753
3,758
2,3770
1,1972
4,3160
1,136
4,1966
2,3781
4,3422
2,3705
4,5526
1,2127
5,3923
3,2102
3,2450
5,2557
5,2613
5,363
3,4526
5,4105
5,1504
3,1237
3,391
5,825
2,1760
5,2822
2,1896
2,3277
1,2690
1,3592
4,4699
5,4604
2,4980
3,4939
5,1781
1,1678
2,3330
1,2511
3,1093
1,503
