A,B
5,79
9,27
3,59
4,64
10,32
6,71
6,23
6,34
1,48
8,77
1,35
7,2
1,24
4,47
3,61
1,86
2,15
3,60
4,79
7,2
7,68
7,60
3,8
9,83
1,46
5,44
2,25
3,4
8,27
6,61
1,55
6,14
5,67
4,53
7,48
1,2
10,14
8,39
9,65
10,28
9,66
9,57
7,42
10,47
9,62
3,52
4,15
8,71
10,14
4,60
3,3
2,59
10,51
1,80
9,26
6,18
8,12
4,51
8,24
3,47
2,23
4,4
8,44
4,36
5,3
10,37
8,73
6,30
2,40
1,4
8,66
5,11
3,17
4,25
6,54
7,28
5,80
8,26
3,4
10,19
10,46
2,15
9,54
1,89
7,19
2,11
5,16
6,77
2,65
5,5
6,4
9,86
10,26
5,47
9,4
2,69
5,91
7,60
2,26
7,37
