A,B
5,74
1,85
2,97
8,90
9,32
5,46
6,81
7,92
1,25
4,95
9,59
6,25
10,88
1,86
3,23
7,13
3,3
3,62
8,28
4,36
3,90
8,21
2,36
9,21
7,62
10,92
7,98
2,85
5,56
5,87
6,53
3,5
2,93
4,51
9,31
10,89
1,53
3,56
7,13
9,65
2,52
10,44
1,22
3,17
4,38
10,47
9,71
7,1
5,70
7,4
9,66
6,30
7,34
6,79
2,31
7,88
5,71
7,80
8,70
3,91
1,67
3,63
8,2
6,67
10,51
5,58
5,29
4,1
2,64
2,23
5,53
2,80
6,35
7,88
5,31
1,52
3,30
8,25
8,77
2,87
4,48
1,42
5,9
1,78
10,46
8,58
4,19
6,66
5,27
6,40
1,71
9,80
7,26
6,25
3,82
8,42
1,28
4,76
6,14
10,92
2,45
6,9
4,87
7,4
1,71
2,53
9,9
5,65
7,21
9,34
5,92
10,42
2,67
5,17
2,15
10,29
2,68
10,33
9,80
9,45
8,24
1,34
7,93
9,61
3,12
4,56
3,24
1,32
6,50
1,66
1,46
4,14
5,49
8,39
5,8
4,1
1,22
9,24
10,69
4,94
10,70
10,84
1,77
4,10
9,46
7,26
10,19
2,35
2,73
1,58
7,76
9,19
10,10
6,23
9,61
8,49
5,45
3,7
10,80
8,80
8,85
8,36
8,41
9,54
4,4
10,65
8,23
7,26
3,68
3,33
7,68
10,19
6,103
4,18
3,54
5,84
3,93
5,66
4,72
6,4
3,86
7,57
8,39
6,48
6,48
2,96
9,41
8,79
9,48
3,13
2,33
4,25
6,78
10,58
2,48
8,47
1,47
4,96
6,93
4,36
