A,B
3,81
6,9
10,47
2,83
5,81
3,11
10,3
4,34
3,40
1,100
1,30
3,27
4,42
9,42
3,78
6,38
1,35
9,19
3,72
6,20
5,76
8,52
5,49
6,88
4,70
1,67
2,3
4,48
10,22
10,16
9,32
7,13
2,20
6,87
4,43
3,12
7,45
3,11
4,45
6,17
8,38
1,35
9,51
2,89
9,57
9,20
1,67
5,18
1,1
9,57
9,68
6,5
5,25
2,60
1,14
1,35
3,52
7,80
7,64
2,46
6,37
9,69
3,52
9,31
5,82
4,18
4,2
7,9
6,85
1,60
1,61
10,83
7,35
3,21
10,36
6,64
6,69
10,59
4,82
4,5
8,50
1,39
5,4
7,85
1,9
4,28
1,60
9,59
8,72
2,26
2,30
6,58
4,72
3,75
5,50
4,59
8,11
8,17
7,4
3,10
6,37
8,72
9,75
5,61
10,73
4,80
5,37
8,19
7,91
10,63
10,53
5,2
10,73
2,6
9,45
1,49
4,76
10,27
6,3
9,71
5,2
5,76
8,43
8,33
1,84
2,15
3,87
6,23
1,4
8,54
10,82
3,20
2,59
8,19
4,30
5,96
3,86
10,72
7,25
4,58
1,83
5,34
3,11
2,69
7,77
5,37
2,38
4,38
5,96
2,62
1,72
10,38
7,19
7,14
10,73
7,32
2,24
7,93
5,77
3,90
5,73
9,49
4,32
6,13
2,68
2,15
7,57
7,71
9,24
7,23
8,19
1,98
6,44
3,15
2,67
8,88
10,39
10,65
8,38
9,62
2,53
9,74
8,17
7,50
6,1
4,32
8,81
2,14
10,25
5,17
3,64
6,17
8,61
7,87
8,20
9,18
9,28
10,80
6,73
8,69
