A,B
1,23
10,62
1,60
3,92
7,16
9,4
2,80
5,10
9,80
6,42
8,8
1,60
3,80
3,30
1,83
5,20
7,80
8,7
9,74
9,84
9,39
3,25
4,54
10,80
3,2
5,41
1,55
2,40
7,77
8,48
7,68
6,2
10,64
7,85
1,2
9,83
6,3
8,49
9,47
2,60
5,75
2,86
3,66
2,26
8,29
6,48
2,73
8,98
2,4
4,39
8,46
2,2
9,30
10,89
10,35
1,28
7,25
5,82
7,31
6,40
3,51
10,12
5,22
4,30
5,10
3,13
1,74
10,81
8,8
10,30
4,56
4,33
1,81
5,43
8,76
4,28
4,38
6,33
7,14
10,34
3,53
9,11
5,32
9,69
2,54
6,55
2,28
6,5
5,38
4,22
8,57
7,22
7,82
1,69
4,21
6,65
10,81
4,40
6,30
3,40
