A,B
1,46
8,46
7,86
7,29
10,67
10,90
8,69
8,34
6,17
4,13
6,60
6,6
9,9
5,97
5,40
7,53
9,16
4,47
4,82
2,49
10,13
3,99
5,58
8,48
7,88
7,19
2,94
10,84
6,28
5,33
1,54
5,55
3,20
9,14
2,57
1,5
8,56
3,77
1,5
4,84
3,100
7,16
4,59
9,85
5,100
2,52
9,71
7,18
8,54
10,84
8,67
4,9
3,12
7,36
5,85
5,25
1,66
3,33
10,47
10,17
9,97
10,89
2,102
1,58
6,88
8,95
8,53
9,48
3,84
8,19
2,33
7,42
1,47
8,91
10,28
8,52
7,68
5,68
2,88
3,48
1,44
8,83
4,89
2,32
6,53
5,53
6,94
4,95
4,70
2,18
2,41
10,47
6,41
3,77
4,26
10,47
6,48
7,9
2,67
5,7
4,85
2,6
4,20
8,4
10,55
8,80
6,42
9,17
3,51
1,70
4,87
1,43
1,86
8,76
9,47
7,65
2,104
10,34
10,21
3,45
9,85
9,16
9,23
1,20
4,31
7,78
4,56
3,64
10,1
2,11
6,35
7,97
3,66
4,44
9,45
4,24
7,5
2,104
6,96
10,70
2,1
10,80
1,48
2,45
10,44
1,67
6,10
8,96
3,69
9,28
1,90
8,39
8,42
8,93
10,42
5,93
10,45
6,14
6,66
5,59
10,73
3,41
10,7
3,56
3,7
9,38
2,90
2,12
5,96
5,25
3,27
1,69
3,50
5,83
7,86
9,25
7,3
3,89
7,98
4,56
3,23
1,46
1,9
2,27
5,28
8,85
5,83
2,24
2,75
8,8
7,8
6,27
6,93
4,34
1,15
10,98
5,60
2,49
5,48
7,52
7,41
6,30
10,41
5,34
6,20
10,82
10,10
1,11
10,89
4,78
10,24
4,88
3,42
9,27
6,5
5,83
4,68
6,70
3,87
1,7
2,98
5,75
2,47
5,11
4,93
7,46
7,78
5,88
9,79
7,31
3,77
4,38
10,59
3,19
6,18
6,63
5,26
8,89
6,52
4,17
7,6
1,15
5,98
7,99
10,74
7,9
9,11
5,23
6,50
3,36
7,86
1,7
1,81
10,65
10,28
2,42
8,58
10,42
1,97
5,93
4,66
4,38
7,52
1,8
6,30
8,33
8,79
3,86
1,41
10,64
3,53
5,16
1,70
8,89
3,27
4,25
8,2
6,74
9,100
3,93
3,7
1,19
6,18
4,94
9,55
3,64
6,1
9,33
4,84
7,2
6,76
6,8
8,76
7,44
9,26
2,58
9,15
2,84
4,48
3,66
6,37
5,51
8,54
4,1
4,83
4,46
1,14
1,52
1,42
2,15
8,45
10,68
9,47
7,22
4,73
8,81
7,65
1,79
9,53
2,67
10,76
9,78
4,34
7,15
2,45
2,41
2,39
8,17
1,58
7,64
7,5
1,21
10,74
8,87
3,88
1,53
10,53
4,80
10,23
10,70
6,41
7,34
2,73
5,15
9,97
3,76
1,59
9,66
5,98
4,18
9,83
6,14
2,35
7,96
7,20
9,73
4,48
5,91
10,79
6,28
9,93
3,7
6,71
4,91
2,19
8,96
3,95
3,87
9,70
3,11
9,7
5,92
10,57
2,38
9,83
8,25
9,27
4,3
1,71
10,8
7,94
1,38
8,65
1,57
6,56
6,63
1,2
3,98
7,54
5,14
7,64
6,34
4,94
2,51
5,13
1,1
8,31
7,71
4,84
10,51
3,29
6,27
10,42
3,79
2,52
6,86
1,13
2,104
9,86
6,85
5,65
8,65
5,70
8,44
3,57
2,7
2,26
9,32
9,66
5,56
2,23
8,71
8,42
3,78
3,27
6,67
5,14
5,18
3,7
5,70
6,5
2,46
3,82
8,94
4,68
1,11
2,46
5,49
3,98
10,21
2,77
6,87
6,87
7,52
8,57
1,49
2,85
4,82
9,7
9,85
9,66
9,48
8,62
3,17
9,97
8,95
1,67
9,15
8,15
5,95
10,41
1,21
9,22
8,87
8,35
7,36
9,9
7,42
2,6
7,29
10,6
6,75
6,38
8,19
9,76
10,63
2,98
3,57
4,7
5,90
4,26
5,63
5,9
1,44
9,77
4,4
7,10
7,77
10,23
2,101
9,36
4,79
5,40
7,83
4,42
5,3
1,71
6,33
6,23
1,31
