A,B
8,63
1,61
4,61
4,31
6,38
3,16
10,10
10,88
5,8
2,96
6,21
8,42
8,22
1,32
3,52
7,16
1,74
10,28
10,5
10,30
4,24
4,68
8,29
4,80
1,88
6,46
3,45
9,84
7,59
2,11
4,90
2,4
2,49
7,75
10,49
4,7
5,2
10,54
3,94
5,81
4,91
9,71
1,9
1,46
8,71
7,29
7,53
10,28
3,64
4,39
2,18
2,30
1,17
10,51
7,71
10,100
9,87
4,76
8,98
5,24
2,3
3,3
4,17
8,48
2,62
7,40
6,74
3,29
2,67
6,16
3,32
10,88
1,18
4,56
10,31
6,7
2,68
9,82
6,14
9,28
6,14
7,45
3,30
2,1
5,67
5,7
2,32
3,34
9,65
8,92
1,31
4,68
1,19
4,21
1,1
9,23
4,44
4,52
9,56
6,4
1,86
7,70
2,40
5,75
4,28
5,47
3,42
5,63
10,72
10,11
9,49
8,35
5,12
1,28
4,90
9,73
7,36
9,2
10,87
10,48
5,8
6,62
4,56
10,95
2,94
6,9
6,58
10,59
4,74
10,1
4,55
5,72
10,66
7,91
10,98
2,12
10,98
6,65
10,79
4,56
10,68
3,80
1,78
2,96
4,24
3,67
9,96
9,40
9,31
2,40
5,20
1,39
6,67
10,85
10,7
9,78
2,32
6,50
2,79
8,63
1,28
7,8
1,55
1,91
10,71
10,3
2,36
8,87
5,91
4,67
7,58
7,61
6,11
9,53
7,35
2,31
2,53
6,81
8,54
2,33
8,27
9,9
8,28
9,89
7,8
1,64
10,19
5,71
4,6
6,29
8,30
5,10
5,30
1,6
4,77
3,78
2,71
7,78
1,85
2,90
7,69
5,39
8,35
6,94
2,43
5,91
9,70
8,75
10,66
4,68
10,47
6,43
1,88
6,55
7,43
1,83
8,23
7,73
4,39
6,32
7,3
7,61
5,40
8,45
3,93
5,34
3,77
2,97
8,23
5,39
7,41
5,36
1,31
8,57
1,52
3,90
1,48
1,70
7,96
3,83
10,89
6,86
2,5
10,50
9,78
10,78
4,3
8,74
5,4
6,50
8,76
6,4
2,31
3,73
2,76
5,64
5,17
1,70
6,68
8,44
6,43
4,63
5,55
5,70
1,41
3,75
3,51
5,27
3,5
9,2
4,27
6,33
1,78
3,78
10,57
6,3
9,32
6,8
3,78
6,17
4,5
8,25
7,64
7,41
3,100
5,6
2,22
4,11
6,30
9,82
7,89
2,52
3,7
8,54
4,2
6,42
7,39
5,53
6,13
8,30
3,76
3,11
4,85
8,7
2,22
9,75
2,31
4,58
7,50
5,20
4,40
6,49
9,85
10,63
1,32
3,36
8,85
4,8
3,44
10,10
2,65
9,71
3,54
9,97
3,27
7,7
5,36
3,51
7,61
1,8
6,43
1,7
2,35
1,30
9,73
9,36
9,18
8,84
7,56
8,58
3,75
1,15
9,40
1,11
6,28
2,31
1,97
3,45
7,56
1,40
10,47
2,16
6,64
8,29
9,89
2,16
8,36
4,28
4,13
3,19
10,34
2,25
9,35
9,29
1,43
10,89
5,45
7,77
4,38
4,39
8,29
10,8
4,58
1,22
9,63
3,68
2,6
4,71
10,28
1,84
9,65
9,38
1,99
1,30
8,13
8,50
5,95
8,99
3,38
6,38
9,98
6,28
8,80
7,63
9,57
8,24
2,91
7,67
10,58
5,32
10,80
10,18
5,78
3,10
9,70
7,8
1,63
7,56
9,21
7,77
9,36
3,13
1,84
2,89
7,11
5,37
9,73
1,69
7,77
8,30
7,11
6,65
6,29
2,78
2,19
7,73
3,79
1,34
8,98
5,21
4,71
3,88
8,72
2,34
9,96
8,44
9,12
2,67
8,88
6,57
3,21
6,58
6,92
3,89
3,38
4,52
6,33
4,17
5,25
4,35
3,38
3,100
6,33
8,14
6,11
3,47
9,60
8,83
5,71
8,49
4,15
8,39
2,66
8,15
7,7
5,14
10,65
7,92
9,6
5,45
5,3
1,14
7,58
4,7
8,9
1,22
6,36
10,75
2,73
5,42
2,43
7,49
9,102
9,94
5,2
9,81
5,86
5,14
5,88
7,59
10,21
5,17
6,84
7,48
7,48
3,26
1,86
10,51
3,34
10,91
