A,B
2,8
6,80
6,82
4,92
4,76
6,38
10,14
2,97
10,64
9,20
7,14
1,8
4,52
7,19
2,50
7,17
2,33
5,65
7,11
1,59
4,36
1,2
8,64
9,24
5,53
6,85
10,30
3,56
4,86
8,10
5,61
7,53
1,16
3,31
9,18
4,36
8,47
5,11
2,51
9,88
8,31
2,2
7,2
5,54
5,31
5,57
3,75
10,58
9,38
3,76
6,24
3,46
10,40
4,91
9,94
7,29
8,64
8,29
6,23
3,89
5,84
10,2
7,19
9,24
8,79
1,72
3,35
3,4
6,52
6,48
10,55
9,100
10,34
3,74
1,8
1,18
5,95
2,55
10,59
6,21
6,37
9,46
10,13
3,36
4,8
8,91
8,38
5,44
1,68
1,82
8,66
2,12
7,10
7,68
9,53
2,17
4,28
4,74
1,56
2,18
