A,B
7,996
2,1394
4,2
5,2388
9,1941
8,1002
10,219
1,1770
3,1415
4,2534
9,475
2,1667
1,2114
3,444
4,432
5,800
3,1748
9,2602
4,1084
1,1781
3,1216
9,1516
5,1047
6,149
9,643
2,593
8,2554
7,1174
2,1085
3,1812
1,1620
8,354
10,585
6,363
5,601
2,1217
3,1013
6,1083
6,1180
9,633
4,1887
1,2190
2,468
8,62
2,990
7,910
9,802
1,833
2,514
2,954
10,4
4,1021
6,1384
8,1593
6,428
10,2000
5,216
9,477
3,174
8,627
3,372
1,985
3,1852
5,924
6,251
4,353
7,30
7,1170
3,1912
2,744
6,925
1,2118
4,2039
5,1123
5,2116
9,947
8,2220
2,1027
4,2449
9,1797
4,562
9,1
1,841
9,2060
2,647
2,1217
4,1099
10,1483
6,89
7,819
6,341
6,562
10,1649
4,2581
7,2312
8,410
3,653
3,701
5,2110
7,511
8,1533
10,1704
9,1506
4,1683
1,176
6,1793
4,1634
1,2243
5,242
9,2425
1,1350
5,2106
9,660
9,1639
1,441
10,144
9,900
7,447
7,713
6,165
10,1774
3,660
4,468
4,1563
4,529
10,2211
4,1163
4,1406
8,125
5,778
8,907
2,432
8,1625
8,1184
6,352
3,742
5,1263
9,2593
1,873
2,555
7,452
9,2218
6,2447
5,96
6,1718
6,874
8,1368
5,737
10,1384
5,290
10,1694
6,2062
1,1534
3,932
8,2152
7,2494
7,584
3,1831
1,501
9,2610
10,73
8,1889
8,270
5,839
10,1942
8,2447
2,969
2,1918
10,2100
6,1138
3,1784
9,949
10,1250
8,2064
5,1740
4,1550
8,2219
4,2527
9,1373
1,1024
8,147
7,1087
6,585
3,36
6,867
3,86
5,1404
4,919
9,109
4,608
5,295
2,367
3,1827
2,1566
1,101
1,2083
3,1183
3,1848
6,2420
1,1705
7,1872
3,907
5,734
5,827
4,1579
9,108
3,1973
1,1156
10,1051
5,540
10,65
9,2197
1,1711
1,145
10,1473
8,1460
10,1481
2,1172
10,1691
5,1151
3,1014
2,729
3,2190
4,65
3,1730
5,554
5,472
1,243
9,1714
4,2510
1,2241
8,2390
10,2255
4,1144
7,1750
7,2318
1,2340
6,1197
5,2257
9,469
10,1806
8,570
8,1639
10,376
1,1867
6,1948
8,1500
1,1512
1,453
6,751
8,1000
4,373
7,1687
9,1305
10,1916
3,295
2,436
8,211
6,1088
8,970
8,1655
7,1952
9,1569
9,2306
10,1827
4,1831
2,874
4,2001
6,2191
9,1470
2,845
4,2330
4,1136
8,756
7,1528
9,585
2,1374
1,653
5,806
8,998
2,1382
6,274
7,1437
1,1735
3,2165
2,859
7,2544
10,399
10,1499
4,663
2,846
3,725
7,397
5,2006
1,1329
6,1220
8,165
4,462
10,1340
10,1027
2,152
4,2482
4,505
9,1201
8,2643
8,2449
8,2619
5,598
6,2092
10,444
1,887
9,507
4,536
3,1457
7,1355
3,1490
9,814
8,1925
8,2511
1,1408
2,131
8,2596
7,901
3,2230
4,1220
3,2027
5,148
2,1841
4,1902
3,602
7,2161
2,1879
9,1877
1,916
3,1358
10,139
4,184
10,113
8,1200
5,2418
9,1448
7,2110
7,875
10,559
4,398
7,1314
2,1350
1,946
5,2268
6,19
7,2442
1,513
5,1326
7,2139
10,230
7,1963
7,1467
7,42
7,1268
9,1895
8,935
6,1647
6,847
9,10
2,1348
1,1862
9,660
4,627
9,1286
8,320
2,837
1,1682
10,1556
3,99
3,2201
9,1181
1,520
5,1504
8,1233
10,469
3,1015
6,2211
7,1635
3,483
3,105
1,1797
2,1137
5,1920
6,1660
1,1285
9,1494
5,714
6,2071
7,29
6,1875
3,891
10,1330
10,639
2,1381
1,307
1,39
2,254
2,524
10,1753
10,1433
3,1132
6,311
7,765
5,290
6,2291
2,658
7,875
6,1886
5,1305
6,744
1,1174
9,123
5,1716
2,586
3,770
10,2234
5,1628
10,1239
6,1080
3,1974
6,332
2,279
5,1655
1,2402
4,254
8,315
3,1358
5,1850
2,1389
10,622
7,215
7,235
3,701
4,968
10,1241
2,1029
9,143
7,1887
2,1482
1,1650
7,2121
10,366
2,177
8,742
4,2246
10,75
7,1615
8,875
6,1876
8,2015
6,2442
2,170
4,1758
7,2533
5,2084
5,656
4,2555
2,823
7,627
1,1729
4,1596
8,1331
4,507
9,2541
5,2378
9,850
5,247
1,1187
2,349
3,2082
8,1354
6,2297
6,1717
5,1049
9,2356
3,212
4,295
5,482
7,1014
3,1924
10,2120
7,1027
8,292
7,981
9,834
2,1738
5,728
1,1934
6,2394
10,125
9,1706
10,1460
6,1997
7,434
6,1427
