A,B
1,234
5,1286
7,2866
6,2226
10,2379
6,2433
2,1264
6,688
1,2110
2,632
1,478
1,1573
4,421
7,699
8,1271
4,2453
10,234
1,137
10,1469
9,1229
5,1355
10,2033
1,2149
7,2137
7,2342
7,946
6,946
1,1348
10,316
4,1175
10,610
1,987
2,2111
7,2007
1,953
6,93
2,1792
6,2612
3,2369
4,1027
4,1460
10,780
8,2339
9,250
10,1250
1,2213
7,2042
3,1172
8,2101
4,1245
10,2066
4,1506
2,1861
6,220
1,38
2,213
10,525
1,756
6,2092
3,1303
7,1939
9,2147
8,1
9,1253
1,515
5,883
9,1939
5,1834
2,951
7,1468
1,1368
10,1263
7,1131
3,1037
9,2503
4,718
10,960
5,2583
1,1954
1,1312
3,778
8,1417
4,716
8,2442
9,684
7,157
10,1349
2,21
4,914
7,1054
4,250
7,2222
4,2047
9,915
8,52
4,794
10,1459
3,1957
6,1582
10,1684
10,670
4,1092
1,2168
4,245
8,1278
5,235
5,1065
2,2209
4,1073
4,1314
6,1641
3,2611
5,567
8,2231
6,631
6,2526
5,752
3,1270
8,1744
4,506
9,2116
3,1433
9,223
3,1812
1,183
5,1780
3,1097
8,2517
9,984
8,2301
7,2855
9,414
1,1354
5,2546
2,1782
1,2329
7,268
7,609
4,982
10,2078
9,562
3,101
3,196
10,1232
8,95
10,1367
1,190
3,505
9,1546
1,507
5,298
8,1225
8,17
8,2285
6,1688
10,1582
4,189
4,1351
3,1057
1,1938
6,2240
10,266
3,1597
6,1677
8,750
6,1147
7,2081
2,1756
8,1181
9,1018
4,2574
2,773
7,1304
8,1773
8,2340
2,1668
1,702
7,1553
7,2550
3,1750
10,1692
1,807
1,805
8,2582
8,2153
3,1310
10,1395
3,1185
9,1192
8,599
5,2581
3,1030
4,2436
9,1516
7,80
6,519
10,2187
5,63
9,2610
10,631
3,231
1,435
5,1943
9,1114
6,1727
2,2162
10,242
7,59
5,2343
7,840
2,1684
3,1703
9,1315
4,2334
8,1503
6,1137
6,2356
5,2093
10,626
7,813
3,2395
3,248
2,128
3,901
1,892
10,163
9,2592
9,742
5,2265
5,1183
4,247
5,1745
8,918
10,1328
7,194
4,578
9,336
8,2190
10,1156
7,1652
9,50
3,2369
9,895
4,717
2,1280
1,527
2,1867
7,1971
6,344
4,2330
8,2389
9,1457
2,1967
10,1037
6,363
8,5
4,866
4,1891
3,206
9,418
5,2316
9,577
9,1166
6,779
9,2400
1,557
2,726
9,1596
3,2522
2,1803
2,2368
5,2089
5,896
7,2263
9,1943
4,1707
7,429
5,56
5,872
7,396
2,1177
10,1474
5,2108
1,1861
7,1694
7,1774
4,644
7,1089
6,312
5,2604
1,890
3,1263
7,1209
9,1660
8,1937
3,1203
1,1476
4,2659
7,2900
10,1317
1,1008
4,987
1,2120
7,1773
1,1354
3,2519
1,2272
2,1202
6,900
2,1773
4,2242
9,1114
5,1778
4,1058
4,797
8,1646
1,2186
3,1043
2,2206
9,1515
5,477
6,656
3,317
4,2072
8,2235
2,1505
5,570
4,835
2,2151
2,625
4,1363
8,867
6,485
8,1445
4,471
6,290
6,2440
2,1901
10,1027
2,1623
10,1760
6,2170
8,2545
9,688
10,1841
2,1260
9,458
1,1372
5,2318
10,1314
8,824
9,1998
5,837
3,2612
6,2498
7,1967
10,461
2,2086
1,2224
6,592
10,262
2,588
6,2633
10,2191
10,995
1,588
3,1903
3,447
7,1708
7,649
5,824
5,23
5,331
2,73
5,1653
2,1385
1,1745
7,2138
3,82
9,986
1,1751
5,2446
10,1118
5,226
2,2183
4,1160
5,413
7,164
5,2004
1,1871
2,1332
8,799
7,424
10,1361
2,225
8,914
3,484
6,2750
10,1103
2,1754
5,1891
3,87
10,918
2,480
4,1316
4,1148
8,1366
2,37
2,89
5,1901
3,1407
8,1475
6,520
9,652
6,2153
6,1974
6,2111
3,1568
1,338
1,1758
4,2208
2,629
10,1565
5,1568
3,2363
9,185
2,2119
4,2463
9,167
1,1830
6,124
9,553
6,176
2,701
9,2503
8,969
9,235
5,2458
7,935
8,1130
3,504
4,641
10,1353
3,2611
10,1485
2,2020
6,1111
3,833
2,2012
1,897
7,2823
5,838
6,1654
8,2098
8,2402
4,1854
9,872
6,1854
1,1395
3,2384
7,2672
4,1116
8,2271
8,2513
6,1436
7,1198
8,1504
7,1571
6,1603
5,1918
8,529
5,1770
3,2087
8,2313
5,1038
5,1814
3,1309
6,2467
6,1257
6,1076
8,930
4,108
7,781
6,2739
10,1247
9,1333
9,1446
1,1203
3,2603
5,1608
7,417
6,1951
8,2364
7,267
9,127
10,1259
9,1533
2,804
3,1917
2,102
